asistencia_laboratorio_pct,asistencia_teorico_pct,asistencia_total_pct,entregas_tarea_puntual,horas_de_estudio_semana,puntualidad_pago,ingresos_mensual,deuda_academica,tipo_financiamiento,costo_servicio_mensual,indice_financiero,indice_procrastinacion,horas_deporte,horas_cultura,horas_extracurriculares,alimentacion,actividad_fisica,horas_pantalla_no_academica,horas_sueno,habitos_vida,horas_trabajo_semana,apoyo_social,estres,bienestar_estudiantil,pps_actual_20,rendimiento,riesgo_de_desercion
Media,Excelente,Excelente,Critico,Adecuado,Impuntual,Medio,Con_deuda,Beca_Parcial,Medio,Vulnerable,Ocasional,Frecuente,Nula,Baja,Inadecuada,Frecuente,Bajo,Deficiente,Regular,Parcial_Alta,Excelente,Alto,Excelente,Previsto,Destacado,Bajo
Media,Alta,Alta,Ejemplar,Limitado,Puntual,Alto,Sin_deuda,Beca_Total,Medio,Sostenible,Frecuente,Constante,Nula,Baja,Inadecuada,Nula,Alto,Regular,Deficiente,Tiempo_Completo,Excelente,Moderado,Excelente,Inicio,Inicio,Bajo
Media,Media,Media,Ejemplar,Limitado,Impuntual,Muy_Bajo,Sin_deuda,Credito,Bajo,Estable,Minimo,Nula,Ocasional,Media,Adecuada,Frecuente,Moderado,Regular,Excelente,Parcial_Baja,Excelente,Bajo,Excelente,Previsto,Destacado,Bajo
Alta,Alta,Media,Consistente,Intensivo,Impuntual,Bajo,Sin_deuda,Financiamiento_Familiar,Muy_Bajo,Estable,Ocasional,Nula,Nula,Baja,Moderada,Baja,Alto,Adecuado,Bueno,Tiempo_Completo,Insuficiente,Muy_Alto,Excelente,En_Proceso,En_Proceso,Alto
Alta,Baja,Media,Consistente,Adecuado,Puntual,Bajo,Sin_deuda,Pago_Directo,Medio,Estable,Ocasional,Constante,Frecuente,Alta,Moderada,Frecuente,Alto,Regular,Regular,Tiempo_Completo,Moderado,Alto,Regular,Previsto,En_Proceso,Alto
Excelente,Media,Alta,Consistente,Insuficiente,Impuntual,Medio,Sin_deuda,Pago_Directo,Bajo,Vulnerable,Constante,Frecuente,Nula,Media,Inadecuada,Frecuente,Bajo,Regular,Bueno,Parcial_Alta,Excelente,Moderado,Excelente,Destacado,En_Proceso,Bajo
Excelente,Baja,Alta,Critico,Limitado,Puntual,Muy_Bajo,Con_deuda,Pago_Directo,Bajo,Estable,Constante,Constante,Ocasional,Media,Moderada,Frecuente,Moderado,Excesivo,Bueno,Parcial_Alta,Insuficiente,Moderado,Excelente,Destacado,Previsto,Alto
Baja,Media,Baja,Moderado,Limitado,Impuntual,Medio,Con_deuda,Financiamiento_Familiar,Medio,Vulnerable,Ocasional,Constante,Ocasional,Baja,Adecuada,Baja,Bajo,Excesivo,Bueno,Parcial_Alta,Bueno,Muy_Alto,Excelente,Destacado,Previsto,Bajo
Media,Alta,Alta,Ejemplar,Intensivo,Puntual,Alto,Sin_deuda,Credito,Alto,Sostenible,Constante,Nula,Constante,Media,Moderada,Constante,Alto,Regular,Excelente,Ninguna,Bueno,Alto,Excelente,Destacado,Destacado,Bajo
Alta,Excelente,Excelente,Ejemplar,Adecuado,Impuntual,Alto,Sin_deuda,Beca_Parcial,Medio,Riesgo_Moderado,Frecuente,Frecuente,Nula,Media,Moderada,Nula,Alto,Deficiente,Regular,Ninguna,Excelente,Alto,Excelente,Inicio,En_Proceso,Bajo
Media,Baja,Baja,Consistente,Limitado,Impuntual,Muy_Bajo,Con_deuda,Pago_Directo,Medio,Vulnerable,Frecuente,Nula,Nula,Baja,Moderada,Constante,Moderado,Regular,Bueno,Ninguna,Bueno,Muy_Alto,Regular,Inicio,Inicio,Medio
Excelente,Alta,Alta,Moderado,Intensivo,Impuntual,Medio,Con_deuda,Pago_Directo,Muy_Bajo,Sostenible,Frecuente,Constante,Ocasional,Media,Adecuada,Frecuente,Alto,Excesivo,Regular,Parcial_Baja,Moderado,Muy_Alto,Critico,Destacado,Destacado,Bajo
Alta,Alta,Excelente,Consistente,Adecuado,Impuntual,Alto,Sin_deuda,Beca_Parcial,Bajo,Estable,Frecuente,Frecuente,Nula,Media,Adecuada,Baja,Bajo,Regular,Excelente,Ninguna,Bueno,Moderado,Excelente,En_Proceso,Previsto,Bajo
Alta,Alta,Alta,Consistente,Intensivo,Impuntual,Medio,Sin_deuda,Credito,Alto,Riesgo_Moderado,Constante,Frecuente,Frecuente,Alta,Inadecuada,Nula,Alto,Regular,Deficiente,Parcial_Alta,Moderado,Alto,Excelente,Previsto,Destacado,Medio
Alta,Baja,Media,Consistente,Insuficiente,Puntual,Medio,Con_deuda,Financiamiento_Familiar,Bajo,Estable,Minimo,Ocasional,Constante,Baja,Inadecuada,Nula,Alto,Adecuado,Excelente,Parcial_Baja,Excelente,Moderado,Excelente,Inicio,En_Proceso,Bajo
Media,Excelente,Excelente,Ejemplar,Intensivo,Puntual,Medio,Con_deuda,Beca_Parcial,Alto,Vulnerable,Minimo,Frecuente,Constante,Alta,Moderada,Nula,Alto,Deficiente,Deficiente,Ninguna,Insuficiente,Bajo,Excelente,Destacado,Destacado,Bajo
Alta,Media,Media,Critico,Intensivo,Puntual,Medio,Sin_deuda,Pago_Directo,Bajo,Estable,Frecuente,Ocasional,Ocasional,Baja,Moderada,Baja,Bajo,Deficiente,Regular,Parcial_Alta,Bueno,Bajo,Excelente,Previsto,Previsto,Bajo
Baja,Media,Excelente,Consistente,Insuficiente,Impuntual,Muy_Bajo,Sin_deuda,Financiamiento_Familiar,Muy_Bajo,Riesgo_Moderado,Constante,Nula,Ocasional,Alta,Moderada,Constante,Moderado,Regular,Bueno,Ninguna,Moderado,Moderado,Excelente,En_Proceso,Inicio,Bajo
Alta,Alta,Excelente,Ejemplar,Insuficiente,Puntual,Alto,Con_deuda,Pago_Directo,Medio,Estable,Ocasional,Nula,Constante,Baja,Moderada,Nula,Bajo,Adecuado,Regular,Tiempo_Completo,Moderado,Bajo,Regular,Destacado,En_Proceso,Bajo
Baja,Media,Baja,Ejemplar,Insuficiente,Puntual,Bajo,Con_deuda,Financiamiento_Familiar,Alto,Vulnerable,Ocasional,Nula,Ocasional,Baja,Moderada,Frecuente,Alto,Adecuado,Regular,Parcial_Alta,Bueno,Bajo,Regular,En_Proceso,Previsto,Bajo
Alta,Alta,Alta,Moderado,Intensivo,Impuntual,Alto,Sin_deuda,Credito,Muy_Bajo,Riesgo_Moderado,Minimo,Constante,Constante,Alta,Moderada,Frecuente,Alto,Excesivo,Bueno,Ninguna,Bueno,Bajo,Excelente,Destacado,Destacado,Bajo
Baja,Excelente,Alta,Ejemplar,Insuficiente,Puntual,Bajo,Sin_deuda,Beca_Total,Medio,Estable,Frecuente,Nula,Ocasional,Baja,Moderada,Baja,Bajo,Excesivo,Deficiente,Parcial_Alta,Bueno,Moderado,Regular,Previsto,En_Proceso,Bajo
Baja,Excelente,Media,Critico,Insuficiente,Impuntual,Muy_Bajo,Con_deuda,Beca_Parcial,Bajo,Vulnerable,Ocasional,Constante,Ocasional,Media,Adecuada,Frecuente,Bajo,Deficiente,Regular,Ninguna,Bueno,Moderado,Regular,En_Proceso,Inicio,Bajo
Excelente,Alta,Excelente,Consistente,Intensivo,Puntual,Bajo,Sin_deuda,Credito,Bajo,Sostenible,Ocasional,Nula,Constante,Alta,Moderada,Baja,Bajo,Excesivo,Bueno,Tiempo_Completo,Moderado,Moderado,Excelente,Destacado,Destacado,Medio
Baja,Baja,Baja,Consistente,Intensivo,Impuntual,Medio,Sin_deuda,Beca_Total,Medio,Estable,Frecuente,Ocasional,Frecuente,Alta,Inadecuada,Baja,Alto,Adecuado,Bueno,Parcial_Baja,Bueno,Muy_Alto,Excelente,Destacado,Previsto,Medio
Media,Alta,Excelente,Moderado,Adecuado,Puntual,Medio,Sin_deuda,Pago_Directo,Bajo,Riesgo_Moderado,Constante,Frecuente,Constante,Alta,Moderada,Frecuente,Bajo,Excesivo,Bueno,Tiempo_Completo,Excelente,Muy_Alto,Excelente,Previsto,Inicio,Alto
Alta,Baja,Alta,Ejemplar,Limitado,Impuntual,Muy_Bajo,Sin_deuda,Financiamiento_Familiar,Alto,Vulnerable,Frecuente,Nula,Frecuente,Media,Adecuada,Baja,Alto,Deficiente,Deficiente,Tiempo_Completo,Insuficiente,Bajo,Excelente,Inicio,Inicio,Medio
Excelente,Baja,Media,Ejemplar,Intensivo,Impuntual,Alto,Sin_deuda,Credito,Bajo,Riesgo_Moderado,Ocasional,Frecuente,Nula,Alta,Adecuada,Frecuente,Bajo,Excesivo,Bueno,Ninguna,Bueno,Muy_Alto,Critico,Previsto,Destacado,Medio
Alta,Media,Alta,Moderado,Limitado,Puntual,Alto,Con_deuda,Beca_Parcial,Muy_Bajo,Sostenible,Frecuente,Nula,Ocasional,Baja,Adecuada,Baja,Bajo,Adecuado,Excelente,Tiempo_Completo,Moderado,Muy_Alto,Excelente,Inicio,En_Proceso,Alto
Baja,Media,Baja,Critico,Intensivo,Puntual,Bajo,Sin_deuda,Beca_Total,Medio,Estable,Frecuente,Nula,Constante,Media,Moderada,Frecuente,Alto,Deficiente,Excelente,Parcial_Alta,Moderado,Alto,Excelente,Inicio,Inicio,Medio
Alta,Media,Baja,Moderado,Insuficiente,Puntual,Muy_Bajo,Sin_deuda,Pago_Directo,Muy_Bajo,Sostenible,Constante,Frecuente,Frecuente,Alta,Moderada,Frecuente,Moderado,Excesivo,Bueno,Parcial_Baja,Insuficiente,Alto,Regular,En_Proceso,Inicio,Bajo
Alta,Media,Alta,Critico,Intensivo,Impuntual,Muy_Bajo,Sin_deuda,Pago_Directo,Medio,Riesgo_Moderado,Frecuente,Nula,Nula,Baja,Inadecuada,Constante,Bajo,Adecuado,Bueno,Parcial_Alta,Moderado,Bajo,Critico,Destacado,Destacado,Bajo
Excelente,Media,Excelente,Consistente,Insuficiente,Puntual,Medio,Sin_deuda,Beca_Total,Bajo,Sostenible,Frecuente,Frecuente,Nula,Baja,Moderada,Baja,Moderado,Deficiente,Regular,Parcial_Baja,Excelente,Alto,Excelente,En_Proceso,Previsto,Bajo
Excelente,Excelente,Excelente,Moderado,Adecuado,Puntual,Bajo,Con_deuda,Beca_Total,Alto,Riesgo_Moderado,Frecuente,Frecuente,Frecuente,Baja,Adecuada,Frecuente,Alto,Deficiente,Deficiente,Parcial_Alta,Moderado,Moderado,Excelente,Destacado,En_Proceso,Bajo
Baja,Media,Baja,Critico,Intensivo,Impuntual,Alto,Con_deuda,Financiamiento_Familiar,Medio,Vulnerable,Ocasional,Nula,Ocasional,Baja,Moderada,Baja,Bajo,Adecuado,Bueno,Parcial_Alta,Insuficiente,Moderado,Excelente,Previsto,Destacado,Medio
Excelente,Excelente,Excelente,Critico,Adecuado,Impuntual,Muy_Bajo,Sin_deuda,Beca_Total,Alto,Estable,Minimo,Constante,Nula,Alta,Moderada,Baja,Alto,Excesivo,Deficiente,Parcial_Baja,Moderado,Alto,Regular,Previsto,Destacado,Medio
Alta,Media,Alta,Critico,Limitado,Puntual,Muy_Bajo,Con_deuda,Credito,Medio,Vulnerable,Minimo,Ocasional,Frecuente,Media,Inadecuada,Baja,Alto,Regular,Regular,Parcial_Baja,Bueno,Alto,Excelente,Previsto,Destacado,Bajo
Baja,Alta,Baja,Consistente,Insuficiente,Impuntual,Muy_Bajo,Sin_deuda,Pago_Directo,Medio,Estable,Constante,Constante,Constante,Alta,Inadecuada,Nula,Moderado,Adecuado,Bueno,Tiempo_Completo,Bueno,Moderado,Excelente,Inicio,Inicio,Bajo
Excelente,Baja,Media,Critico,Adecuado,Puntual,Medio,Sin_deuda,Credito,Muy_Bajo,Sostenible,Ocasional,Ocasional,Nula,Baja,Inadecuada,Constante,Moderado,Regular,Bueno,Parcial_Baja,Bueno,Bajo,Excelente,Previsto,Inicio,Bajo
Alta,Excelente,Excelente,Critico,Limitado,Puntual,Bajo,Sin_deuda,Beca_Total,Medio,Sostenible,Ocasional,Frecuente,Constante,Alta,Adecuada,Frecuente,Bajo,Deficiente,Regular,Parcial_Baja,Excelente,Bajo,Excelente,En_Proceso,Destacado,Bajo
Media,Media,Excelente,Moderado,Limitado,Puntual,Muy_Bajo,Con_deuda,Financiamiento_Familiar,Alto,Vulnerable,Frecuente,Constante,Nula,Media,Moderada,Frecuente,Alto,Regular,Regular,Tiempo_Completo,Excelente,Bajo,Critico,En_Proceso,En_Proceso,Bajo
Media,Media,Media,Critico,Adecuado,Impuntual,Alto,Sin_deuda,Pago_Directo,Bajo,Sostenible,Ocasional,Constante,Frecuente,Alta,Adecuada,Nula,Alto,Deficiente,Deficiente,Ninguna,Excelente,Moderado,Excelente,Destacado,Destacado,Bajo
Alta,Media,Excelente,Consistente,Insuficiente,Impuntual,Alto,Sin_deuda,Beca_Parcial,Muy_Bajo,Sostenible,Constante,Nula,Frecuente,Media,Inadecuada,Baja,Bajo,Adecuado,Bueno,Ninguna,Excelente,Alto,Regular,En_Proceso,Inicio,Bajo
Baja,Baja,Baja,Ejemplar,Limitado,Puntual,Alto,Con_deuda,Financiamiento_Familiar,Medio,Riesgo_Moderado,Frecuente,Constante,Nula,Baja,Inadecuada,Constante,Alto,Deficiente,Deficiente,Ninguna,Bueno,Moderado,Critico,Inicio,Inicio,Bajo
Alta,Alta,Alta,Consistente,Insuficiente,Puntual,Muy_Bajo,Sin_deuda,Pago_Directo,Alto,Riesgo_Moderado,Ocasional,Nula,Frecuente,Media,Inadecuada,Nula,Alto,Adecuado,Bueno,Parcial_Baja,Excelente,Alto,Regular,En_Proceso,Previsto,Medio
Media,Baja,Baja,Consistente,Adecuado,Puntual,Alto,Con_deuda,Financiamiento_Familiar,Muy_Bajo,Sostenible,Minimo,Constante,Constante,Alta,Moderada,Nula,Alto,Regular,Regular,Parcial_Baja,Moderado,Alto,Critico,Destacado,Destacado,Bajo
Excelente,Baja,Media,Moderado,Intensivo,Impuntual,Alto,Sin_deuda,Financiamiento_Familiar,Muy_Bajo,Estable,Ocasional,Frecuente,Frecuente,Alta,Inadecuada,Nula,Moderado,Adecuado,Bueno,Parcial_Baja,Excelente,Bajo,Regular,Destacado,Destacado,Bajo
Media,Excelente,Excelente,Moderado,Insuficiente,Puntual,Muy_Bajo,Sin_deuda,Financiamiento_Familiar,Muy_Bajo,Vulnerable,Minimo,Nula,Ocasional,Baja,Adecuada,Frecuente,Moderado,Excesivo,Bueno,Ninguna,Insuficiente,Moderado,Excelente,Previsto,Previsto,Bajo
Baja,Alta,Media,Ejemplar,Adecuado,Impuntual,Muy_Bajo,Con_deuda,Beca_Parcial,Alto,Vulnerable,Minimo,Ocasional,Frecuente,Media,Adecuada,Constante,Bajo,Deficiente,Excelente,Tiempo_Completo,Excelente,Muy_Alto,Excelente,Previsto,Destacado,Medio
Baja,Media,Baja,Moderado,Limitado,Impuntual,Medio,Con_deuda,Beca_Parcial,Bajo,Vulnerable,Ocasional,Constante,Nula,Alta,Moderada,Frecuente,Moderado,Regular,Bueno,Tiempo_Completo,Bueno,Moderado,Excelente,Inicio,Inicio,Medio
Excelente,Baja,Media,Moderado,Insuficiente,Puntual,Alto,Sin_deuda,Beca_Parcial,Bajo,Sostenible,Constante,Frecuente,Ocasional,Alta,Inadecuada,Frecuente,Alto,Regular,Regular,Ninguna,Bueno,Alto,Regular,Previsto,Inicio,Medio
Baja,Baja,Baja,Consistente,Insuficiente,Impuntual,Bajo,Con_deuda,Credito,Muy_Bajo,Vulnerable,Minimo,Ocasional,Constante,Alta,Adecuada,Nula,Moderado,Adecuado,Bueno,Ninguna,Bueno,Moderado,Excelente,Destacado,Previsto,Bajo
Alta,Baja,Baja,Moderado,Adecuado,Impuntual,Medio,Sin_deuda,Financiamiento_Familiar,Bajo,Riesgo_Moderado,Ocasional,Constante,Nula,Media,Moderada,Constante,Bajo,Regular,Bueno,Parcial_Baja,Insuficiente,Muy_Alto,Critico,Previsto,En_Proceso,Alto
Baja,Excelente,Alta,Moderado,Intensivo,Impuntual,Alto,Sin_deuda,Financiamiento_Familiar,Muy_Bajo,Sostenible,Frecuente,Ocasional,Frecuente,Baja,Inadecuada,Nula,Moderado,Excesivo,Deficiente,Parcial_Baja,Insuficiente,Bajo,Regular,Previsto,Destacado,Bajo
Excelente,Excelente,Excelente,Critico,Adecuado,Impuntual,Bajo,Sin_deuda,Credito,Muy_Bajo,Riesgo_Moderado,Ocasional,Ocasional,Nula,Baja,Moderada,Frecuente,Moderado,Adecuado,Regular,Parcial_Baja,Moderado,Bajo,Excelente,Destacado,Destacado,Bajo
Excelente,Alta,Excelente,Critico,Intensivo,Impuntual,Medio,Con_deuda,Pago_Directo,Medio,Riesgo_Moderado,Frecuente,Frecuente,Frecuente,Baja,Adecuada,Nula,Moderado,Adecuado,Bueno,Tiempo_Completo,Bueno,Muy_Alto,Excelente,En_Proceso,Destacado,Medio
Media,Baja,Media,Consistente,Intensivo,Puntual,Alto,Con_deuda,Beca_Parcial,Muy_Bajo,Sostenible,Minimo,Constante,Ocasional,Baja,Moderada,Baja,Moderado,Excesivo,Regular,Parcial_Alta,Bueno,Moderado,Excelente,Previsto,Destacado,Bajo
Media,Alta,Media,Moderado,Adecuado,Impuntual,Medio,Sin_deuda,Credito,Bajo,Riesgo_Moderado,Constante,Frecuente,Frecuente,Alta,Adecuada,Baja,Alto,Excesivo,Regular,Parcial_Baja,Bueno,Bajo,Excelente,Destacado,Destacado,Bajo
Excelente,Alta,Excelente,Moderado,Intensivo,Puntual,Medio,Con_deuda,Financiamiento_Familiar,Medio,Riesgo_Moderado,Minimo,Ocasional,Frecuente,Media,Adecuada,Frecuente,Bajo,Deficiente,Bueno,Parcial_Baja,Insuficiente,Alto,Excelente,Destacado,Destacado,Bajo
Alta,Alta,Excelente,Critico,Adecuado,Impuntual,Bajo,Sin_deuda,Pago_Directo,Bajo,Riesgo_Moderado,Constante,Nula,Ocasional,Alta,Adecuada,Nula,Bajo,Excesivo,Bueno,Tiempo_Completo,Excelente,Moderado,Excelente,Previsto,Destacado,Alto
Media,Excelente,Excelente,Moderado,Adecuado,Impuntual,Muy_Bajo,Sin_deuda,Financiamiento_Familiar,Alto,Vulnerable,Ocasional,Nula,Frecuente,Baja,Inadecuada,Constante,Alto,Adecuado,Bueno,Parcial_Alta,Bueno,Bajo,Excelente,Destacado,Destacado,Bajo
Media,Baja,Baja,Ejemplar,Adecuado,Impuntual,Muy_Bajo,Con_deuda,Beca_Parcial,Medio,Vulnerable,Minimo,Ocasional,Constante,Media,Moderada,Frecuente,Moderado,Deficiente,Regular,Tiempo_Completo,Bueno,Bajo,Regular,Previsto,Destacado,Bajo
Media,Excelente,Excelente,Ejemplar,Adecuado,Puntual,Medio,Con_deuda,Beca_Parcial,Alto,Vulnerable,Constante,Constante,Ocasional,Baja,Inadecuada,Nula,Alto,Excesivo,Bueno,Parcial_Alta,Insuficiente,Muy_Alto,Regular,En_Proceso,Inicio,Alto
Excelente,Media,Alta,Ejemplar,Intensivo,Impuntual,Bajo,Sin_deuda,Beca_Total,Muy_Bajo,Sostenible,Frecuente,Nula,Constante,Media,Adecuada,Frecuente,Alto,Deficiente,Deficiente,Tiempo_Completo,Insuficiente,Moderado,Critico,Inicio,Destacado,Alto
Excelente,Excelente,Excelente,Critico,Intensivo,Impuntual,Bajo,Con_deuda,Pago_Directo,Alto,Riesgo_Moderado,Minimo,Ocasional,Frecuente,Baja,Inadecuada,Baja,Alto,Excesivo,Deficiente,Parcial_Alta,Bueno,Moderado,Excelente,Destacado,Destacado,Bajo
Baja,Media,Baja,Critico,Limitado,Puntual,Medio,Con_deuda,Beca_Total,Alto,Riesgo_Moderado,Minimo,Nula,Nula,Media,Moderada,Nula,Bajo,Deficiente,Deficiente,Tiempo_Completo,Moderado,Moderado,Critico,Previsto,Previsto,Bajo
Alta,Alta,Excelente,Moderado,Insuficiente,Puntual,Bajo,Sin_deuda,Beca_Parcial,Alto,Vulnerable,Ocasional,Constante,Constante,Media,Inadecuada,Frecuente,Alto,Excesivo,Regular,Tiempo_Completo,Moderado,Alto,Regular,Previsto,Destacado,Alto
Media,Alta,Baja,Consistente,Limitado,Puntual,Muy_Bajo,Sin_deuda,Pago_Directo,Alto,Riesgo_Moderado,Frecuente,Nula,Constante,Baja,Moderada,Nula,Alto,Regular,Deficiente,Parcial_Alta,Bueno,Muy_Alto,Critico,En_Proceso,En_Proceso,Medio
Media,Media,Media,Moderado,Intensivo,Puntual,Muy_Bajo,Con_deuda,Beca_Parcial,Alto,Vulnerable,Constante,Frecuente,Frecuente,Alta,Moderada,Constante,Alto,Adecuado,Excelente,Parcial_Baja,Bueno,Alto,Excelente,En_Proceso,Previsto,Medio
Alta,Media,Media,Consistente,Limitado,Impuntual,Bajo,Con_deuda,Beca_Total,Alto,Estable,Constante,Ocasional,Constante,Media,Adecuada,Baja,Moderado,Adecuado,Excelente,Ninguna,Bueno,Bajo,Critico,Destacado,En_Proceso,Bajo
Excelente,Media,Excelente,Critico,Limitado,Puntual,Muy_Bajo,Con_deuda,Beca_Total,Muy_Bajo,Sostenible,Frecuente,Ocasional,Nula,Baja,Inadecuada,Constante,Moderado,Deficiente,Regular,Ninguna,Bueno,Bajo,Excelente,Previsto,Previsto,Bajo
Media,Media,Alta,Consistente,Adecuado,Puntual,Alto,Con_deuda,Beca_Total,Bajo,Sostenible,Minimo,Frecuente,Constante,Alta,Inadecuada,Frecuente,Moderado,Excesivo,Excelente,Tiempo_Completo,Excelente,Alto,Excelente,Inicio,Previsto,Bajo
Alta,Baja,Excelente,Moderado,Insuficiente,Impuntual,Muy_Bajo,Con_deuda,Beca_Total,Alto,Vulnerable,Minimo,Ocasional,Constante,Alta,Moderada,Nula,Bajo,Adecuado,Regular,Tiempo_Completo,Bueno,Muy_Alto,Regular,Destacado,Destacado,Alto
Alta,Baja,Alta,Ejemplar,Insuficiente,Puntual,Alto,Sin_deuda,Pago_Directo,Muy_Bajo,Sostenible,Ocasional,Ocasional,Nula,Baja,Moderada,Constante,Moderado,Deficiente,Regular,Parcial_Alta,Insuficiente,Moderado,Regular,Destacado,Inicio,Bajo
Media,Excelente,Excelente,Consistente,Adecuado,Puntual,Muy_Bajo,Con_deuda,Financiamiento_Familiar,Alto,Vulnerable,Minimo,Nula,Nula,Baja,Inadecuada,Frecuente,Moderado,Adecuado,Bueno,Ninguna,Insuficiente,Moderado,Critico,Inicio,Previsto,Bajo
Media,Media,Baja,Moderado,Intensivo,Impuntual,Muy_Bajo,Sin_deuda,Pago_Directo,Muy_Bajo,Estable,Ocasional,Ocasional,Frecuente,Media,Moderada,Frecuente,Moderado,Regular,Deficiente,Parcial_Alta,Insuficiente,Moderado,Excelente,En_Proceso,Previsto,Alto
Excelente,Alta,Alta,Moderado,Intensivo,Impuntual,Alto,Sin_deuda,Credito,Medio,Vulnerable,Ocasional,Frecuente,Frecuente,Alta,Adecuada,Baja,Moderado,Adecuado,Excelente,Parcial_Baja,Bueno,Muy_Alto,Excelente,Previsto,Destacado,Medio
Media,Excelente,Excelente,Critico,Adecuado,Puntual,Bajo,Con_deuda,Credito,Alto,Riesgo_Moderado,Frecuente,Constante,Constante,Media,Inadecuada,Frecuente,Bajo,Adecuado,Excelente,Parcial_Alta,Moderado,Moderado,Excelente,Destacado,Destacado,Bajo
Baja,Excelente,Media,Ejemplar,Adecuado,Impuntual,Muy_Bajo,Con_deuda,Beca_Parcial,Bajo,Vulnerable,Frecuente,Nula,Nula,Baja,Inadecuada,Frecuente,Bajo,Regular,Bueno,Ninguna,Insuficiente,Moderado,Critico,Destacado,Destacado,Alto
Media,Excelente,Alta,Ejemplar,Adecuado,Impuntual,Bajo,Sin_deuda,Financiamiento_Familiar,Alto,Riesgo_Moderado,Minimo,Nula,Constante,Alta,Adecuada,Constante,Moderado,Deficiente,Bueno,Tiempo_Completo,Insuficiente,Alto,Excelente,En_Proceso,Destacado,Medio
Media,Excelente,Excelente,Critico,Intensivo,Impuntual,Alto,Sin_deuda,Beca_Parcial,Bajo,Riesgo_Moderado,Frecuente,Ocasional,Constante,Alta,Adecuada,Constante,Moderado,Deficiente,Deficiente,Ninguna,Excelente,Bajo,Excelente,Previsto,En_Proceso,Medio
